Word	AFINN	freq	avg_AFINN	sd_AFINN
bajramski	2	2	1.640	1.768
bajs	-1	3	-1.138	1.339
bajsa	2	2	1.640	1.768
bajt	3	1	2.890	0.000
bajta	2	5	1.890	1.369
bak	1	2	1.015	2.652
bakalar	0	1	0.390	0.000
baker	0	36	0.010	2.162
bakir	-2	1	-2.110	0.000
bakla	0	15	0.057	3.519
bakovnik	0	9	0.251	2.020
bakren	-1	8	-0.704	1.526
bakriti	0	1	0.390	0.000
bakterija	-2	12	-1.589	2.351
bakterijski	-5	1	-4.610	0.000
bakteriološki	0	2	0.390	0.000
bala	-1	3	-0.582	2.646
balast	-1	4	-1.172	1.197
balasten	0	2	0.390	0.000
balažič	0	55	0.328	1.763
balažičev	1	5	0.890	1.118
balet	2	2	1.640	1.768
bali	0	11	-0.292	1.711
balijski	3	1	2.890	0.000
balinanje	3	1	2.890	0.000
balinar	3	1	2.890	0.000
balinarski	2	3	2.057	1.443
balinišče	3	1	2.890	0.000
balkanec	3	2	2.890	0.000
balkanski	0	51	-0.417	2.296
balkon	0	10	-0.068	2.433
balkonski	3	1	2.890	0.000
balon	-1	70	-1.202	1.815
balonar	0	1	0.390	0.000
balonarski	-1	4	-1.485	2.394
balonček	-1	2	-0.652	2.062
baltiški	0	1	0.390	0.000
baltski	0	19	-0.005	1.447
balzam	3	5	2.578	1.573
balzamer	0	1	0.390	0.000
ban	0	39	0.230	1.949
banalen	-3	4	-2.839	1.458
banana	2	4	1.952	1.197
banca	0	19	0.022	4.021
bančen	0	1301	-0.293	1.838
bančnica	3	1	2.890	0.000
bančnik	-1	51	-0.539	1.625
bančniški	0	2	0.182	1.473
bančništvo	0	160	0.095	1.796
band	2	4	1.640	1.768
banda	0	1	0.390	0.000
bang	0	26	0.198	0.844
bangov	-1	1	-0.860	0.000
banja	1	13	1.154	2.086
banjaluški	1	6	0.598	3.393
bank	0	486	0.087	2.402
banka	0	10824	-0.251	1.785
bankin	0	1	0.390	0.000
bankina	0	9	0.112	2.155
bankir	0	104	-0.429	1.674
banknoten	2	9	1.918	2.635
banko	0	53	0.007	1.149
bankokracija	-2	1	-2.110	0.000
bankomat	0	35	-0.355	1.860
bankovec	1	84	1.179	1.719
bankrot	-2	145	-1.543	1.894
bankrotirati	-1	23	-1.346	1.866
banov	-5	1	-4.610	0.000
banovec	0	2	-0.235	0.884
banski	0	1	0.390	0.000
bar	1	29	1.177	1.773
barak	-1	2	-1.485	2.652
baraka	0	9	-0.443	1.531
barakarski	0	4	-0.235	1.250
barantanje	-1	3	-1.277	1.443
barantati	-1	1	-0.860	0.000
barbar	-2	2	-2.110	0.000
barbara	0	150	0.289	1.322
barbarski	-3	3	-2.943	1.443
barbika	0	1	0.390	0.000
barcelonski	4	1	4.140	0.000
barčica	1	2	1.015	0.884
bari	3	1	2.890	0.000
barica	0	1	0.390	0.000
barikada	-2	8	-2.467	0.945
baritonist	3	1	2.890	0.000
barjanski	0	5	0.140	1.369
